customer_id,recency,frequency,monetary,R_score,frequency_rank,F_score,monetary_rank,M_score,RFM_score,RFM_code,segment
12346.0,326,1,77183.6,1,1.0,1,4329.0,5,7,115,Lost
12347.0,3,7,4310.0,5,3639.0,5,4004.0,5,15,555,Loyal
12348.0,76,4,1797.24,2,2837.0,4,3335.0,4,10,244,At Risk
12349.0,19,1,1757.55,4,2.0,1,3312.0,4,9,414,Potential
12350.0,311,1,334.40000000000003,1,3.0,1,1242.0,2,4,112,Lost
12352.0,37,8,2506.04,3,3782.0,5,3640.0,5,13,355,Potential
12353.0,205,1,89.0,1,4.0,1,116.0,1,3,111,Lost
12354.0,233,1,1079.4,1,5.0,1,2785.0,4,6,114,Lost
12355.0,215,1,459.4,1,6.0,1,1665.0,2,4,112,Lost
12356.0,23,3,2811.43,4,2329.0,3,3744.0,5,12,435,Potential
12357.0,34,1,6207.67,3,7.0,1,4137.0,5,9,315,Potential
12358.0,2,2,1168.06,5,1494.0,2,2878.0,4,11,524,Unclassified
12359.0,58,4,6310.03,3,2838.0,4,4144.0,5,12,345,Potential
12360.0,53,3,2662.06,3,2330.0,3,3696.0,5,11,335,Potential
12361.0,288,1,189.9,1,8.0,1,608.0,1,3,111,Lost
12362.0,4,10,5226.2300000000005,5,3948.0,5,4084.0,5,15,555,Loyal
12363.0,110,2,552.0,2,1495.0,2,1889.0,3,7,223,At Risk
12364.0,8,4,1313.1,5,2839.0,4,3002.0,4,13,544,Loyal
12365.0,292,2,641.38,1,1496.0,2,2102.0,3,6,123,Lost
12367.0,5,1,168.9,5,9.0,1,509.0,1,7,511,Unclassified
12370.0,52,4,3541.94,3,2840.0,4,3883.0,5,12,345,Potential
12371.0,45,2,1887.96,3,1497.0,2,3397.0,4,9,324,Potential
12372.0,72,3,1298.04,3,2331.0,3,2986.0,4,10,334,Potential
12373.0,312,1,364.6,1,10.0,1,1364.0,2,4,112,Lost
12374.0,26,1,742.9300000000001,4,11.0,1,2319.0,3,8,413,Potential
12375.0,11,2,457.5,5,1498.0,2,1658.0,2,9,522,Unclassified
12377.0,316,2,1628.12,1,1499.0,2,3235.0,4,7,124,Lost
12378.0,130,1,4008.62,2,12.0,1,3968.0,5,8,215,At Risk
12379.0,82,2,852.24,2,1500.0,2,2488.0,3,7,223,At Risk
12380.0,22,4,2724.81,4,2841.0,4,3715.0,5,13,445,Potential
12381.0,5,5,1845.31,5,3225.0,4,3371.0,4,13,544,Loyal
12383.0,185,5,1850.56,1,3226.0,4,3373.0,4,9,144,Lost
12384.0,29,2,585.27,4,1501.0,2,1961.0,3,9,423,Potential
12386.0,338,2,401.9,1,1502.0,2,1495.0,2,5,122,Lost
12388.0,16,6,2780.6600000000003,4,3467.0,4,3731.0,5,13,445,Potential
12390.0,80,1,549.84,2,13.0,1,1884.0,3,6,213,At Risk
12391.0,22,1,439.66,4,14.0,1,1615.0,2,7,412,Potential
12393.0,73,4,1582.6,2,2842.0,4,3204.0,4,10,244,At Risk
12394.0,64,2,1272.48,3,1503.0,2,2968.0,4,9,324,Potential
12395.0,20,12,3018.63,4,4054.0,5,3789.0,5,14,455,Potential
12397.0,36,2,2409.9,3,1504.0,2,3608.0,5,10,325,Potential
12398.0,46,1,1635.66,3,15.0,1,3238.0,4,8,314,Potential
12399.0,120,4,1108.65,2,2843.0,4,2817.0,4,10,244,At Risk
12401.0,304,1,84.3,1,16.0,1,108.0,1,3,111,Lost
12402.0,324,1,225.6,1,17.0,1,775.0,1,3,111,Lost
12403.0,50,1,427.7,3,18.0,1,1582.0,2,6,312,Potential
12405.0,149,1,1710.39,2,19.0,1,3287.0,4,7,214,At Risk
12406.0,23,2,3415.3,4,1505.0,2,3862.0,5,11,425,Potential
12407.0,50,5,1708.12,3,3227.0,4,3285.0,4,11,344,Potential
12408.0,33,5,2888.55,4,3228.0,4,3761.0,5,13,445,Potential
12409.0,79,3,11072.67,2,2332.0,3,4251.0,5,10,235,At Risk
12410.0,309,2,693.33,1,1506.0,2,2225.0,3,6,123,Lost
12412.0,75,3,1226.88,2,2333.0,3,2921.0,4,9,234,At Risk
12413.0,67,3,758.1,3,2334.0,3,2345.0,3,9,333,Potential
12414.0,218,3,562.4100000000001,1,2335.0,3,1911.0,3,7,133,Lost
12415.0,25,21,124914.53,4,4244.0,5,4333.0,5,14,455,Potential
12417.0,4,9,3649.1,5,3880.0,5,3907.0,5,15,555,Loyal
12418.0,113,1,668.58,2,20.0,1,2170.0,3,6,213,At Risk
12420.0,64,1,600.39,3,21.0,1,2001.0,3,7,313,Potential
12421.0,16,4,807.04,4,2844.0,4,2426.0,3,11,443,Potential
12422.0,96,3,803.5600000000001,2,2336.0,3,2421.0,3,8,233,At Risk
12423.0,1,8,1859.31,5,3783.0,5,3379.0,4,14,554,Loyal
12424.0,163,2,1760.96,2,1507.0,2,3314.0,4,8,224,At Risk
12425.0,79,1,777.2,2,22.0,1,2375.0,3,6,213,At Risk
12426.0,195,1,582.73,1,23.0,1,1952.0,3,5,113,Lost
12427.0,22,3,825.8000000000001,4,2337.0,3,2452.0,3,10,433,Potential
12428.0,26,9,7956.46,4,3881.0,5,4201.0,5,14,455,Potential
12429.0,10,4,3750.4,5,2845.0,4,3929.0,5,14,545,Loyal
12430.0,44,1,256.4,3,24.0,1,903.0,2,6,312,Potential
12431.0,36,15,6419.95,3,4149.0,5,4147.0,5,13,355,Potential
12432.0,43,5,5059.32,3,3229.0,4,4072.0,5,12,345,Potential
12433.0,1,7,13375.87,5,3640.0,5,4271.0,5,15,555,Loyal
12434.0,85,2,806.14,2,1508.0,2,2424.0,3,7,223,At Risk
12435.0,80,2,7829.89,2,1509.0,2,4196.0,5,9,225,At Risk
12436.0,100,1,509.01,2,25.0,1,1790.0,3,6,213,At Risk
12437.0,2,18,4951.41,5,4206.0,5,4062.0,5,15,555,Loyal
12438.0,15,2,2906.85,4,1510.0,2,3765.0,5,11,425,Potential
12441.0,367,1,173.55,1,26.0,1,531.0,1,3,111,Lost
12442.0,4,1,172.06,5,27.0,1,522.0,1,7,511,Unclassified
12444.0,22,5,5005.46,4,3230.0,4,4065.0,5,13,445,Potential
12445.0,23,1,133.4,4,28.0,1,318.0,1,6,411,Unclassified
12446.0,58,1,1002.31,3,29.0,1,2678.0,4,8,314,Potential
12447.0,244,1,476.49,1,30.0,1,1703.0,2,4,112,Lost
12448.0,45,1,449.45,3,31.0,1,1634.0,2,6,312,Potential
12449.0,23,4,4067.29,4,2846.0,4,3979.0,5,13,445,Potential
12450.0,157,2,197.88,2,1511.0,2,645.0,1,5,221,At Risk
12451.0,11,5,9035.52,5,3231.0,4,4222.0,5,14,545,Loyal
12452.0,17,2,430.5700000000001,4,1512.0,2,1596.0,2,8,422,Potential
12453.0,135,1,707.09,2,32.0,1,2255.0,3,6,213,At Risk
12454.0,57,1,3528.34,3,33.0,1,3881.0,5,9,315,Potential
12455.0,74,6,2466.86,2,3468.0,4,3623.0,5,11,245,At Risk
12456.0,45,3,3181.04,3,2338.0,3,3824.0,5,11,335,Potential
12457.0,67,7,2363.23,3,3641.0,5,3594.0,5,13,355,Potential
12458.0,72,2,947.4,3,1513.0,2,2615.0,4,9,324,Potential
12461.0,95,2,826.88,2,1514.0,2,2455.0,3,7,223,At Risk
12462.0,19,2,1189.59,4,1515.0,2,2891.0,4,10,424,Potential
12463.0,54,4,1344.78,3,2847.0,4,3034.0,4,11,344,Potential
12464.0,11,8,1212.05,5,3784.0,5,2905.0,4,14,554,Loyal
12465.0,18,2,742.19,4,1516.0,2,2317.0,3,9,423,Potential
12468.0,188,2,729.54,1,1517.0,2,2296.0,3,6,123,Lost
12471.0,3,30,19788.65,5,4293.0,5,4295.0,5,15,555,Loyal
12472.0,33,7,6572.11,4,3642.0,5,4153.0,5,14,455,Potential
12473.0,30,5,3928.05,4,3232.0,4,3953.0,5,13,445,Potential
12474.0,18,18,7324.09,4,4207.0,5,4186.0,5,14,455,Potential
12475.0,54,1,723.38,3,34.0,1,2287.0,3,7,313,Potential
12476.0,16,11,6816.42,4,4002.0,5,4167.0,5,14,455,Potential
12477.0,23,6,13219.74,4,3469.0,4,4269.0,5,13,445,Potential
12478.0,4,1,680.99,5,35.0,1,2200.0,3,9,513,Unclassified
12479.0,12,1,527.2,5,36.0,1,1828.0,3,9,513,Unclassified
12480.0,29,4,3281.63,4,2848.0,4,3841.0,5,13,445,Potential
12481.0,23,10,5579.82,4,3949.0,5,4107.0,5,14,455,Potential
12483.0,18,8,2484.98,4,3785.0,5,3634.0,5,14,455,Potential
12484.0,33,6,4527.32,4,3470.0,4,4027.0,5,13,445,Potential
12488.0,10,3,1298.66,5,2339.0,3,2987.0,4,12,534,Unclassified
12489.0,337,1,334.93,1,37.0,1,1246.0,2,4,112,Lost
12490.0,6,10,5417.93,5,3950.0,5,4095.0,5,15,555,Loyal
12491.0,39,1,460.4,3,38.0,1,1666.0,2,6,312,Potential
12492.0,64,2,263.21000000000004,3,1518.0,2,919.0,2,7,322,Potential
12493.0,166,2,433.74,2,1519.0,2,1600.0,2,6,222,At Risk
12494.0,16,7,1246.1,4,3643.0,5,2937.0,4,13,454,Potential
12497.0,82,1,1043.1,2,39.0,1,2735.0,4,7,214,At Risk
12498.0,22,3,403.7000000000001,4,2340.0,3,1500.0,2,9,432,Potential
12500.0,24,11,4257.82,4,4003.0,5,4000.0,5,14,455,Potential
12501.0,337,1,2169.39,1,40.0,1,3523.0,5,7,115,Lost
12502.0,96,5,3723.87,2,3233.0,4,3925.0,5,11,245,At Risk
12504.0,19,2,482.05,4,1520.0,2,1719.0,2,8,422,Potential
12506.0,233,1,73.5,1,41.0,1,77.0,1,3,111,Lost
12507.0,135,3,1304.81,2,2341.0,3,2994.0,4,9,234,At Risk
12508.0,27,2,397.88,4,1521.0,2,1482.0,2,8,422,Potential
12509.0,285,1,176.5,1,42.0,1,543.0,1,3,111,Lost
12510.0,143,2,982.57,2,1522.0,2,2659.0,4,8,224,At Risk
12512.0,67,2,132.18,3,1523.0,2,314.0,1,6,321,Unclassified
12513.0,113,1,612.29,2,43.0,1,2031.0,3,6,213,At Risk
12514.0,268,1,1017.68,1,44.0,1,2700.0,4,6,114,Lost
12515.0,354,1,383.7,1,45.0,1,1427.0,2,4,112,Lost
12516.0,78,2,1312.06,2,1524.0,2,3000.0,4,8,224,At Risk
12517.0,29,5,2481.6,4,3234.0,4,3632.0,5,13,445,Potential
12518.0,1,5,2056.89,5,3235.0,4,3472.0,5,14,545,Loyal
12519.0,64,1,330.84000000000003,3,46.0,1,1226.0,2,6,312,Potential
12520.0,80,5,2634.26,2,3236.0,4,3687.0,5,11,245,At Risk
12521.0,143,1,599.68,2,47.0,1,1998.0,3,6,213,At Risk
12522.0,40,2,192.72,3,1525.0,2,622.0,1,6,321,Unclassified
12523.0,20,11,1789.77,4,4004.0,5,3329.0,4,13,454,Potential
12524.0,10,8,4485.72,5,3786.0,5,4024.0,5,15,555,Loyal
12526.0,1,3,1316.66,5,2342.0,3,3010.0,4,12,534,Unclassified
12527.0,82,3,348.71000000000004,2,2343.0,3,1295.0,2,7,232,At Risk
12528.0,10,6,1933.48,5,3471.0,5,3413.0,4,14,554,Loyal
12530.0,60,4,1662.28,3,2849.0,4,3258.0,4,11,344,Potential
12531.0,15,1,125.22,4,48.0,1,287.0,1,6,411,Unclassified
12532.0,31,1,349.83000000000004,4,49.0,1,1303.0,2,7,412,Potential
12534.0,131,1,1089.18,2,50.0,1,2793.0,4,7,214,At Risk
12535.0,92,2,716.35,2,1526.0,2,2279.0,3,7,223,At Risk
12536.0,44,3,12601.830000000002,3,2344.0,3,4264.0,5,11,335,Potential
12538.0,30,1,363.95,4,51.0,1,1361.0,2,7,412,Potential
12539.0,23,4,5568.35,4,2850.0,4,4103.0,5,13,445,Potential
12540.0,20,17,13400.24,4,4188.0,5,4272.0,5,14,455,Potential
12541.0,30,3,981.18,4,2345.0,3,2654.0,4,11,434,Potential
12544.0,37,1,372.7,3,52.0,1,1385.0,2,6,312,Potential
12545.0,76,2,1000.39,2,1527.0,2,2677.0,4,8,224,At Risk
12546.0,47,2,1161.5,3,1528.0,2,2871.0,4,9,324,Potential
12547.0,198,2,207.8,1,1529.0,2,697.0,1,4,121,Lost
12548.0,167,1,95.2,2,53.0,1,145.0,1,4,211,At Risk
12550.0,80,1,964.83,2,54.0,1,2634.0,4,7,214,At Risk
12551.0,358,1,168.0,1,55.0,1,500.0,1,3,111,Lost
12552.0,39,2,437.82,3,1530.0,2,1610.0,2,7,322,Potential
12553.0,9,10,3692.28,5,3951.0,5,3914.0,5,15,555,Loyal
